iter	RMSE
0	1.01882278
1	1.014129036
2	1.009389993
3	1.004788148
4	1.000412556
5	0.9958568166
6	0.9913682065
7	0.9868968618
8	0.9824997674
9	0.9778666602
10	0.9735759078
11	0.9691011981
12	0.9648097932
13	0.9603506222
14	0.9558546104
15	0.9514906143
16	0.9470943627
17	0.942724418
18	0.9384851663
19	0.9342021704
20	0.9299378699
21	0.9256248029
22	0.9213621351
23	0.9171647489
24	0.9130113376
25	0.9088448999
26	0.9047260275
27	0.9006313837
28	0.8964374425
29	0.8922622613
30	0.8882528727
31	0.8840999471
32	0.880204563
33	0.8761812903
34	0.8722338696
35	0.8683131376
36	0.8642412739
37	0.8603534836
38	0.8562951858
39	0.8522300185
40	0.8485131953
41	0.8447406074
42	0.8407786374
43	0.8370189562
44	0.8331341909
45	0.8292755733
46	0.8255035567
47	0.821840772
48	0.8181818112
49	0.8147799393
50	0.8111321681
51	0.8073799922
52	0.8038173222
53	0.8000531238
54	0.7963396458
55	0.7927190297
56	0.789096733
57	0.7856936094
58	0.7821113787
59	0.7784580358
60	0.7748538628
61	0.7714958866
62	0.7679381452
63	0.7644927733
64	0.761055287
65	0.7577392931
66	0.7543101196
67	0.7508635451
68	0.7473966322
69	0.7441276055
70	0.7407265141
71	0.7374587816
72	0.7340501124
73	0.7307011022
74	0.7274645314
75	0.7241064859
76	0.7208409284
77	0.7177373517
78	0.714441507
79	0.7112344943
80	0.7079865152
81	0.7046938575
82	0.7014482062
83	0.6981880977
84	0.6950964276
85	0.6920018709
86	0.6889718935
87	0.6858630915
88	0.6827387326
89	0.6795676797
90	0.6765047139
91	0.6733815201
92	0.6702623131
93	0.6672662639
94	0.6642798717
95	0.6613711889
96	0.6583180861
97	0.6553977415
98	0.6524832439
99	0.6495805424
100	0.6466354881
101	0.643671903
102	0.6408033576
103	0.6378715606
104	0.6349797639
105	0.6321991251
106	0.6293845056
107	0.6265893555
108	0.6237214091
109	0.6209435453
110	0.618131393
111	0.6152909129
112	0.6125368133
113	0.6097328385
114	0.6070097544
115	0.6041632415
116	0.6013402339
117	0.5986380865
118	0.5960115688
119	0.5933700685
120	0.5907125949
121	0.5880152441
122	0.5855249697
123	0.5828146615
124	0.5801106632
125	0.5774232824
126	0.5747249458
127	0.5720959664
128	0.5695107464
129	0.5669593477
130	0.5644045788
131	0.561795475
132	0.55926241
133	0.5566983677
134	0.5542282303
135	0.5517068803
136	0.5491103594
137	0.546656312
138	0.5442239694
139	0.541685653
140	0.5393544009
141	0.5369617418
142	0.5344559176
143	0.5320310598
144	0.5296820365
145	0.5272376932
146	0.5248487706
147	0.5224100543
148	0.5200344687
149	0.51765691
150	0.5153986863
151	0.513118957
152	0.510779581
153	0.5085518609
154	0.5063240681
155	0.5040536524
156	0.5017657103
157	0.4995669063
158	0.4972897444
159	0.4949955493
160	0.4927964408
161	0.4905052595
162	0.4882486011
163	0.4860650987
164	0.4838381591
165	0.481874394
166	0.479735442
167	0.4775117201
168	0.4753122118
169	0.4731488034
170	0.4711617578
171	0.4690051928
172	0.4668634749
173	0.4648033009
174	0.4627786954
175	0.4608571977
176	0.4588136718
177	0.4567392867
178	0.4546819885
179	0.4526574713
180	0.4505452679
181	0.448482612
182	0.4464058391
183	0.4444021632
184	0.4424659775
185	0.4404662636
186	0.4384722743
187	0.4365010056
188	0.434585394
189	0.4326909867
190	0.4307346806
191	0.4287699937
192	0.4268051434
193	0.4249907491
194	0.4231561059
195	0.4212562193
196	0.4193404907
197	0.4174558251
198	0.4156562038
199	0.41376574
200	0.4119275197
201	0.4100577969
202	0.4081513511
203	0.4063022071
204	0.4045235553
205	0.4027156565
206	0.4009285945
207	0.3991678041
208	0.3973949198
209	0.3956422509
210	0.3939151402
211	0.392151754
212	0.3903600557
213	0.3885600035
214	0.3868868253
215	0.385129713
216	0.3834277212
217	0.3817149969
218	0.3800391129
219	0.3783398488
220	0.3767194626
221	0.3750739115
222	0.3733748806
223	0.3716846892
224	0.3700585475
225	0.368409395
226	0.3667719943
227	0.3651591547
228	0.363531943
229	0.3618956733
230	0.360312703
231	0.3586914342
232	0.3570709498
233	0.3554637276
234	0.3538410789
235	0.3522854691
236	0.3507519362
237	0.3492389105
238	0.3476814552
239	0.3461331717
240	0.344657771
241	0.3430873385
242	0.3415900177
243	0.3401030462
244	0.3386178322
245	0.3371773343
246	0.3356219688
247	0.3341771307
248	0.3326542797
249	0.3312048663
250	0.3297138963
251	0.3282430892
252	0.3267684909
253	0.3252961386
254	0.3238731537
255	0.3224761954
256	0.3210214375
257	0.3196626315
258	0.3182566817
259	0.3168617583
260	0.3153933727
261	0.3140283759
262	0.3126497776
263	0.3113451243
264	0.3099609944
265	0.3085549218
266	0.3071892157
267	0.3058590251
268	0.3044702932
269	0.3031294966
270	0.3017734115
271	0.3003852612
272	0.2990429466
273	0.2977258567
274	0.2964364806
275	0.2951205998
276	0.2938369848
277	0.2925453625
278	0.2912776054
279	0.2899691705
280	0.2886481158
281	0.2873830428
282	0.28608931
283	0.2847928245
284	0.2835866844
285	0.2823716434
286	0.2811851839
287	0.2799100084
288	0.2786522318
289	0.2774725997
290	0.2762044025
291	0.2750036371
292	0.2738504656
293	0.2726052667
294	0.2714233653
295	0.2701821813
296	0.2690445674
297	0.2678770984
298	0.2667505396
299	0.2655716193
300	0.2644397786
301	0.2632860355
302	0.2621495069
303	0.2610090649
304	0.259889234
305	0.258745506
306	0.2576876352
307	0.2565267325
308	0.2554094198
309	0.2542783323
310	0.2531652746
311	0.2520966894
312	0.2510199221
313	0.249925154
314	0.2488631271
315	0.2477696343
316	0.246663575
317	0.2455452375
318	0.244508685
319	0.243463222
320	0.2423911824
321	0.2413739453
322	0.2403190119
323	0.2392716914
324	0.2382062549
325	0.2371743496
326	0.2361855586
327	0.2351352947
328	0.2341198921
329	0.233078484
330	0.232034924
331	0.2310146303
332	0.23002232
333	0.2290018416
334	0.2279673973
335	0.2269476786
336	0.2259574616
337	0.2249876195
338	0.2240301341
339	0.2230407077
340	0.2220272371
341	0.2210915772
342	0.2200826112
343	0.2191656691
344	0.2182240692
345	0.2172142794
346	0.2162460772
347	0.2153083695
