iter	Passed	Remaining
0	46	46373
1	89	44769
2	132	44119
3	176	43900
4	224	44666
5	270	44853
6	316	44845
7	317	39363
8	363	40074
9	408	40398
10	450	40529
11	492	40522
12	541	41107
13	585	41233
14	631	41454
15	643	39586
16	691	39966
17	738	40304
18	788	40687
19	791	38771
20	850	39653
21	927	41243
22	953	40508
23	1007	40969
24	1032	40259
25	1087	40723
26	1133	40851
27	1136	39443
28	1145	38364
29	1190	38501
30	1243	38855
31	1291	39070
32	1339	39254
33	1386	39385
34	1436	39596
35	1481	39662
36	1526	39724
37	1572	39797
38	1619	39914
39	1668	40035
40	1717	40178
41	1765	40280
42	1815	40394
43	1867	40565
44	1919	40737
45	1968	40827
46	2011	40784
47	2015	39983
48	2035	39503
49	2081	39539
50	2123	39513
51	2166	39503
52	2209	39474
53	2249	39408
54	2295	39444
55	2337	39410
56	2384	39445
57	2431	39496
58	2479	39542
59	2529	39625
60	2580	39715
61	2635	39866
62	2679	39857
63	2684	39266
64	2686	38639
65	2731	38650
66	2777	38683
67	2827	38752
68	2873	38774
69	2876	38212
70	2926	38290
71	2973	38329
72	3018	38327
73	3063	38331
74	3106	38314
75	3144	38234
76	3185	38182
77	3224	38119
78	3243	37814
79	3284	37775
80	3326	37737
81	3366	37687
82	3407	37642
83	3447	37599
84	3491	37588
85	3533	37553
86	3589	37674
87	3637	37699
88	3678	37650
89	3718	37594
90	3755	37512
91	3792	37428
92	3829	37348
93	3869	37299
94	3905	37206
95	3948	37184
96	3987	37118
97	4035	37140
98	4073	37076
99	4114	37030
100	4120	36673
101	4161	36637
102	4204	36616
103	4242	36550
104	4283	36512
105	4320	36437
106	4359	36387
107	4401	36354
108	4439	36292
109	4478	36235
110	4518	36192
111	4559	36151
112	4598	36099
113	4648	36126
114	4705	36212
115	4755	36236
116	4806	36272
117	4857	36308
118	4908	36339
119	4959	36371
120	5005	36365
121	5050	36347
122	5099	36363
123	5144	36341
124	5183	36287
125	5229	36273
126	5274	36260
127	5316	36216
128	5356	36166
129	5405	36178
130	5449	36147
131	5454	35866
132	5495	35825
133	5538	35792
134	5579	35751
135	5620	35706
136	5625	35438
137	5663	35377
138	5701	35315
139	5721	35145
140	5763	35114
141	5804	35071
142	5845	35030
143	5884	34980
144	5890	34733
145	5928	34678
146	5968	34630
147	6010	34602
148	6050	34557
149	6097	34550
150	6143	34544
151	6185	34506
152	6228	34481
153	6271	34455
154	6313	34421
155	6352	34370
156	6397	34353
157	6440	34322
158	6483	34291
159	6525	34256
160	6562	34199
161	6604	34165
162	6648	34137
163	6692	34115
164	6737	34096
165	6779	34062
